date,name,rating,review
03/22/2024,operafansri,4.0,"Service is always excellent here.  Food was good, but my steak wasn't as good as last time (but still good).   Hot rolls are excellent, and love their wedge salad."
03/22/2024,Csanchez,5.0,1st time there and I will return. The dinner and drinks were perfect.
03/22/2024,ShaquanaN,5.0,I should’ve listened and not wasted $200. The food is not worth it and could be a lot better but the service was outstanding!! I went to celebrate my boyfriend’s 26th birthday and they accommodated everything I asked for ( except singing lol ). They gave us a private booth as requested and a signed card which I thought was a nice touch. Really appreciated the staff but the food is a waste lol.
03/18/2024,MollyS,5.0,"We had the best time, the food was incredible and our server Brian was amazing! He was very attentive and gave us his suggestions and really made our dining experience great."
03/17/2024,RayG,5.0,Absolutely great dinner!  Service was exceptional and food was truly oustanding.  We both had filet mignon and the potato trio which was so delicious.  Perfect dinner evening with a Makers #46 cocktail and we were back on the floor for more fun.  Just a great night.
03/17/2024,BillV,5.0,Always a wonderful dining experience. Look forward to returning soon
03/14/2024,MarcS,4.0,"I really enjoyed the experience at MJ's restaurant; however, it was a very special occasion being my wife and I celebrating our 25 anniversary and so our seating was less than special. I would have preferred a booth or somewhere less trafficked."
03/13/2024,BarbaraT,5.0,Great service. Great food !   Would definitely go ag  again
03/11/2024,OpenTable Diner,5.0,"Always a treat going to eat at MJ’s.
Sarah is an amazing server !"
03/11/2024,OpenTable Diner,5.0,Had the filet.  Cooked perfect. Super tender.  Our waiter Chris was fantastic.
03/10/2024,Tamara,5.0,The ambience is great. The service is top- notch. The waitress & waiters are  very attentive. Every seating area gives you a personalized feeling. The food is outstanding. I can’t wait to return. It’s definitely worth the expense.
03/09/2024,Lynn,4.0,"It was a busy March evening with all the events going on at Mohegan yet still, the food came out prompt and the great quality was maintained.  The service was impeccable!  Their famous corn was not on the menu as it was found to be a seasonable item.  The booths in the back are nice because it is more quiet than up front by the bar and restaurant entrance.  Request that on the reservation.  Overall, a great evening especially if you want to make an impression."
03/09/2024,conncat,1.0,"We were late in being seated by 20 minutes!

Hostess was dismissive and not very nice!"
03/08/2024,LynnC,3.0,"We had a waiter and an assistant, and had to remind them to get butter for our crab legs.  The water glasses went dry and we had to ask for refills on our drinks.  The meal was delicious, but when you are charging five star prices you expect five star service.  Thank you"
03/08/2024,OpenTable Diner,5.0,"I frequent steakhouses in lower Fairfield County and NYC and must highlight the level of service we received yesterday. Our server, Chris, was so engaging and attentive without being overbearing. My boyfriend and I were celebrating his birthday and could not be happier about our choice of venue for dinner.

Good food is easy to fine, but noteworthy service is a little harder to come by nowadays. Thank you Chris, and others, for such a wonderful experience. It is greatly appreciated."
03/04/2024,KellyF,5.0,"The food was amazing, the service was great and loved the ambiance."
03/03/2024,JR87,5.0,"I really nice meal. Not one of those places that skates by on it's celebrity name, but the food was great, the steaks were nicely cooked, and the service was friendly and professional."
03/03/2024,JamesW,5.0,"Always wonderful! 
Danielle was terrific dining experience."
03/02/2024,OpenTable Diner,5.0,"We made a reservation for 4 walked in they Sat is right away, we had our main waitress and another waiter that would stop by refill the waters and take plates, very tentative. The four of use had a had a hard time deciding on what to get everything sound good in the end we went with the MVP steak flight and feed all four of use with out a problem, would high recommend the mash potato flight and Brussels sprouts, the cream spinach was also very good. Well worth the money, the only down side is could possibly say is it is a little dark in there. Could go on and on with the overall experience, every one that waited on us were very knowledgeable, all four of us agreed it was a great place and would go back again."
03/02/2024,BillE,5.0,FANTASTIC !! Can’t wait to return there for another outstanding meal
03/02/2024,OpenTable Diner,5.0,We truly enjoyed ourselves and had a wonderful time. Our waiter Robert was great and he actually remembered serving us 2 years ago. We will definitely be back!!!
03/01/2024,PattyS,1.0,Came for the “surf and turf special for two.” Very disappointing. Ordered “medium” steak it was way too charred causing it to be bitter. Needed a microscope to find the lobster. VmSent back. Manger comped us one entree. NOT worth it.
03/01/2024,OpenTable Diner,5.0,One of the best meals we’ve ever had. Service was awesome.
03/01/2024,TimothyT,4.0,They were out of espresso vodka as they claimed that the machine was broken. Disappointed in that. Food very good though
02/27/2024,Vegas2015,5.0,"Service was excellent, the steaks are delicious.The drinks were great also."
02/27/2024,Daniel,5.0,Jordan’s is our go to place to commemorate any special occasion.  The food and service are outstanding. The tomahawk with the parmesean crust is amazing!
02/26/2024,NicoleD,5.0,This was our first time back on 20years. It was a great date night. The food was amazing but what made the night more enjoyable was our server Chris. He has a great personality and very engaged with his customers. We did not feel rushed at all.
02/26/2024,SydneyM,5.0,Simone was a great waitress and great recommendations for wine and menu options.
02/25/2024,OpenTable Diner,3.0,Good was very good. But $40 for a small crab cake was ridiculous
02/25/2024,AndrewF,5.0,Was definitely worthwhile. Definitely would go back. Food and atmosphere were both great
